Time (s),X Axis (m/s^2),Y Axis (m/s^2),Z Axis (m/s^2)
5.095093882,-0.137797355,-0.153157663,-0.423524963
5.095699576,-0.051576652,-0.299253855,-0.413944885
5.09630527,0.03943409,-0.73035737,-0.263058654
5.096910963,0.410662117,-0.304043894,0.086614197
5.097516657,0.317256356,-0.074122019,-0.047506896
5.09812235,-0.384484367,0.857540579,0.450657166
5.098728044,-0.168932609,0.948551321,0.58477826
5.099333737,-0.041996574,-0.234588327,-0.071457092
5.099939431,0.14481495,-0.359129343,-0.720507385
5.100545124,-0.26712841,-0.306438913,-0.799543029
5.101150818,0.561548348,-0.98662446,-0.473820373
5.101756511,0.453772469,-0.605816355,-0.207973205
5.102362205,0.389106942,-0.186687937,-0.02834674
5.102967898,-0.226413078,0.606063528,0.153674744
5.103573592,-0.786847648,1.166498098,0.898525818
5.104179285,-0.156957511,-0.007061472,0.469817322
5.104784979,-0.130612297,-0.184292917,-0.514535705
5.105390672,-0.307843742,0.275550833,-0.497770568
5.105996366,0.211875496,-0.692037058,-0.464240295
5.106602059,0.633398934,-0.905193796,-0.047506896
5.107207753,0.55196827,-0.11723237,-0.071457092
5.107813446,-0.133007316,0.534212942,-0.188813049
5.10841914,-0.772477531,1.223978567,0.692554139
5.109024833,-0.327003898,0.630013723,0.690159119
5.109630527,-0.037206535,-0.62976655,-0.413944885
5.11023622,-0.291078605,0.251600638,-0.442685119
5.110841914,-0.109057121,-0.06693696,-0.198393127
5.111447608,0.166370125,-0.608211374,-0.172047912
5.112053301,0.288516121,-0.081307077,0.215945252
5.112658995,0.034644051,-0.248958444,0.201575135
5.113264688,-0.614406242,0.929391165,0.120144471
5.113870382,-0.422804679,0.761739798,0.433892029
5.114476075,0.166370125,-0.301648874,0.651838807
5.115081769,-0.133007316,0.174960013,-0.69176715
5.115687462,-0.21443798,-0.205848093,-0.727692443
5.116293156,0.307676278,-0.93393403,-0.150492736
5.116898849,0.271750985,-0.201058054,0.009973572
5.117504543,0.204690438,0.081554251,0.22792035
5.118110236,-0.353349113,0.692284231,0.237500428
5.11871593,-0.451544914,0.833590384,0.692554139
5.119321623,-0.123427238,-0.268118601,0.055478943
5.119927317,0.084939461,-0.368709421,-0.548065978
5.12053301,-0.089896965,-0.325599069,-0.655841857
5.121138704,0.302886239,-0.941119089,-0.380414611
5.121744397,0.54957325,-0.795022898,0.077034119
5.122350091,0.633398934,-0.205848093,0.07224408
5.122955784,-0.06115673,0.730604544,-0.28700885
5.123561478,-0.753317375,1.168893118,0.678184022
5.124167171,-0.283893547,0.318661184,0.575198182
5.124772865,0.128049813,-0.438164987,-0.449870178
5.125378558,0.065779305,-0.01424653,-0.610336486
5.125984252,0.03943409,-0.608211374,-0.28700885
5.126589945,0.271750985,-0.737542429,-0.066667053
5.127195639,0.774705086,-0.275303659,-0.047506896
5.127801333,0.080149422,0.100714407,-0.025951721
5.128407026,-0.542555656,1.0563272,0.421916932
5.12901272,-0.26712841,0.620433645,0.589568299
5.129618413,0.104099617,-0.339969187,-0.368439514
5.130224107,-0.286288566,0.167774954,-0.392389709
5.1308298,-0.168932609,-0.145972605,-0.241503478
5.131435494,0.616633797,-0.464510202,-0.152887756
5.132041187,0.403477059,-0.16752778,0.057873963
5.132646881,0.094519539,-0.292068796,-0.457055236
5.133252574,-0.743737297,0.915021048,-0.076247131
5.133858268,-0.710207023,0.603668509,0.477002381
5.134463961,0.075359383,-0.4764853,-0.346884338
5.135069655,-0.046786613,-0.251353464,-0.612731506
5.135675348,-0.044391593,-0.450140085,-0.342094299
5.136281042,0.350786629,-0.902798777,-0.107382385
5.136886735,0.312466317,-0.277698679,-0.119357482
5.137492429,0.29330616,-0.06933198,0.249475525
5.138098122,-0.300658683,0.764134817,0.460237244
5.138703816,-0.477890129,0.989266653,0.656628846
5.139309509,-0.255153312,-0.035801706,0.196785096
5.139915203,0.106494637,-0.22021821,-0.497770568
5.140520896,0.032249032,-0.275303659,-0.600756408
5.14112659,0.458562508,-0.895613718,-0.586386291
5.141732283,0.626213875,-0.790232859,-0.1337276
5.142337977,0.274146004,-0.385474558,-0.069062072
5.142943671,-0.159352531,0.491102591,-0.239108459
5.143549364,-0.492260246,1.152127981,0.352461365
5.144155058,-0.221623039,0.194120169,0.3812016
5.144760751,-0.06355175,-0.378289499,0.180019959
5.145366445,-0.410829582,-0.033406687,-0.349279357
5.145972138,-0.06115673,-0.617791452,-0.531300842
5.146577832,0.475327645,-0.742332468,-0.239108459
5.147183525,0.487302742,-0.363919382,-0.052296935
5.147789219,0.116074715,0.091134329,0.079429139
5.148394912,-0.667096672,1.298224173,0.280610779
5.149000606,-0.396459465,0.625223684,0.572803162
5.149606299,0.159185067,-0.490855417,-0.143307678
5.150211993,-0.26473339,0.18933013,-0.399574767
5.150817686,-0.058761711,-0.191477976,-0.452265197
5.15142338,0.360366707,-0.670481882,-0.035531799
5.152029073,0.544783211,-0.265723581,-0.002001525
5.152634767,0.14481495,-0.098072214,-0.169652892
5.15324046,-0.494655265,0.874305716,0.215945252
5.153846154,-0.525790519,0.744974661,0.505742615
5.154451847,0.226245614,-0.165132761,0.160859803
5.155057541,-0.01086132,-0.395054636,-0.473820373
5.155663234,-0.044391593,-0.27290864,-0.581596252
5.156268928,0.238220711,-0.672876902,-0.552856017
5.156874621,0.386711922,-0.502830515,0.093799256
5.157480315,0.434612313,0.016888723,0.194390076
5.158086008,-0.530580558,0.728209524,0.091404236
5.158691702,-0.159352531,1.068302298,0.53448285
