Time (s),Y Axis (m/s^2),Z Axis (m/s^2)
0.246582,0.57441474,1.10051523
0.24707,0.57775014,1.10388987
0.247559,0.56967651,1.1032326
0.248047,0.56810691,1.10229084
0.248535,0.5813406,1.10422341
0.249023,0.57394386,1.10076048
0.249512,0.56909772,1.10066238
0.25,0.56815596,1.1059794
0.250488,0.56967651,1.10311488
0.250977,0.57549384,1.09808235
0.251465,0.57301191,1.10379177
0.251953,0.57297267,1.10077029
0.252441,0.58376367,1.09997568
0.25293,0.58800159,1.10299716
0.253418,0.57521916,1.10045637
0.253906,0.57785805,1.10065257
0.254395,0.58790349,1.10224179
0.254883,0.57969252,1.10384082
0.255371,0.57380652,1.10241837
0.255859,0.58272381,1.10497878
0.256348,0.57885867,1.10398797
0.256836,0.57449322,1.10043675
0.257324,0.57827007,1.10275191
0.257813,0.57882924,1.10585187
0.258301,0.57798558,1.10270286
0.258789,0.57228597,1.10798064
0.259277,0.56985309,1.10655819
0.259766,0.58472505,1.10596959
0.260254,0.57768147,1.10615598
0.260742,0.56534049,1.10751957
0.26123,0.58574529,1.10594016
0.261719,0.58808988,1.1007801
0.262207,0.56626263,1.10262438
0.262695,0.57747546,1.09796463
0.263184,0.5904639,1.10221236
0.263672,0.57197205,1.10294811
0.26416,0.57047112,1.10010321
0.264648,0.58507821,1.1027421
0.265137,0.58273362,1.10002473
0.265625,0.57464037,1.10456676
0.266113,0.57469923,1.10691135
0.266602,0.57354165,1.10109402
0.26709,0.57384576,1.10174148
0.267578,0.56693952,1.10383101
0.268066,0.56729268,1.10357595
0.268555,0.58165452,1.10178072
0.269043,0.58088934,1.10583225
0.269531,0.56568384,1.10972682
0.27002,0.58400892,1.1033307
0.270508,0.58594149,1.10531232
0.270996,0.5627016,1.10576358
0.271484,0.57566061,1.0998972
0.271973,0.5924259,1.10161395
0.272461,0.5799672,1.10435094
0.272949,0.56886228,1.10305602
0.273438,0.58847247,1.1037231
0.273926,0.58512726,1.10796102
0.274414,0.57039264,1.10307564
0.274902,0.57889791,1.10253609
0.275391,0.57899601,1.10900088
0.275879,0.58434246,1.10302659
0.276367,0.57371823,1.10631294
0.276855,0.57494448,1.10692116
0.277344,0.5821254,1.10222217
0.277832,0.57429702,1.10778444
0.27832,0.57225654,1.10744109
0.278809,0.58360671,1.10522403
0.279297,0.58151718,1.1029383
0.279785,0.56744964,1.10765691
0.280273,0.57444417,1.10412531
0.280762,0.5804577,1.10708793
0.28125,0.57003948,1.10814741
0.281738,0.56960784,1.10643066
0.282227,0.57960423,1.10301678
0.282715,0.57488562,1.10570472
0.283203,0.57352203,1.10246742
0.283691,0.56538954,1.10615598
0.28418,0.57208977,1.10458638
0.284668,0.58296906,1.10181015
0.285156,0.56870532,1.11032523
0.285645,0.56914677,1.10527308
0.286133,0.5820273,1.10531232
0.286621,0.57645522,1.10912841
0.287109,0.56389842,1.10311488
0.287598,0.57714192,1.10336013
0.288086,0.582714,1.10708793
0.288574,0.56548764,1.10328165
0.289063,0.5685876,1.10441961
0.289551,0.5803596,1.1049003
0.290039,0.57385557,1.10022093
0.290527,0.56841102,1.10036808
0.291016,0.57645522,1.1043117
0.291504,0.58391082,1.09855323
0.291992,0.57493467,1.09924974
0.29248,0.57052017,1.10314431
0.292969,0.57893715,1.10116269
0.293457,0.58420512,1.10037789
0.293945,0.57481695,1.09861209
0.294434,0.57410082,1.10145699
0.294922,0.58974777,1.10043675
0.29541,0.58365576,1.10268324
0.295898,0.57134421,1.0993086
0.296387,0.57942765,1.09798425
0.296875,0.58479372,1.09985796
0.297363,0.57567042,1.10517498
0.297852,0.57693591,1.10429208
0.29834,0.58213521,1.10491992
0.298828,0.57899601,1.10236932
0.299316,0.57312963,1.10524365
0.299805,0.57362013,1.10343861
0.300293,0.57517011,1.10514555
0.300781,0.57753432,1.1049003
0.30127,0.56288799,1.10443923
0.301758,0.57439512,1.10270286
0.302246,0.5961537,1.10335032
0.302734,0.57589605,1.10916765
0.303223,0.57046131,1.10332089
0.303711,0.59413284,1.10632275
0.304199,0.58686363,1.10778444
0.304688,0.55968993,1.10426265
0.305176,0.57992796,1.10376234
0.305664,0.58995378,1.10604807
0.306152,0.5744736,1.10837304
0.306641,0.57228597,1.10595978
0.307129,0.57664161,1.11151224
0.307617,0.57756375,1.11030561
0.308105,0.5753565,1.10908917
0.308594,0.57105972,1.11702546
0.309082,0.58009473,1.10851038
0.30957,0.58395006,1.1064699
0.310059,0.56818539,1.10909898
0.310547,0.5737869,1.1058813
0.311035,0.59226894,1.10720565
0.311523,0.57606282,1.10629332
0.312012,0.56670408,1.10814741
0.3125,0.59113098,1.10642085
0.312988,0.59406417,1.10648952
0.313477,0.566037,1.10080953
0.313965,0.57504258,1.10214369
0.314453,0.59072877,1.10322279
0.314941,0.57701439,1.10192787
0.31543,0.57462075,1.10285982
0.315918,0.58283172,1.1107863
0.316406,0.58348899,1.10262438
0.316895,0.57474828,1.10467467
0.317383,0.57095181,1.10820627
0.317871,0.57979062,1.10164338
0.318359,0.58668705,1.10417436
0.318848,0.56987271,1.10392911
0.319336,0.57454227,1.10150604
0.319824,0.59400531,1.1038212
0.320313,0.57630807,1.10618541
0.320801,0.57056922,1.10420379
0.321289,0.58735413,1.10563605
0.321777,0.5862456,1.10762748
0.322266,0.56904867,1.10341899
0.322754,0.58136022,1.10704869
0.323242,0.59125851,1.10750976
0.32373,0.57546441,1.10580282
0.324219,0.57401253,1.10446866
0.324707,0.57443436,1.10904993
0.325195,0.58648104,1.10822589
0.325684,0.58072257,1.10969739
0.326172,0.56753793,1.11533814
0.32666,0.58050675,1.10677401
0.327148,0.58510764,1.10776482
0.327637,0.56866608,1.1106882
0.328125,0.57210939,1.1068623
0.328613,0.58773672,1.11036447
0.329102,0.57923145,1.11089421
0.32959,0.56993157,1.10853
0.330078,0.57827988,1.11121794
0.330566,0.5828121,1.10896164
0.331055,0.57148155,1.10742147
0.331543,0.57536631,1.10615598
0.332031,0.58746204,1.10646009
0.33252,0.58452885,1.10479239
0.333008,0.57278628,1.10782368
0.333496,0.57497391,1.10620503
0.333984,0.58479372,1.10464524
0.334473,0.57519954,1.10699964
0.334961,0.56606643,1.10566548
0.335449,0.58046751,1.10619522
0.335938,0.59216103,1.10766672
0.336426,0.57330621,1.10453733
0.336914,0.57145212,1.10368386
0.337402,0.58799178,1.10187882
0.337891,0.57886848,1.1052927
0.338379,0.56872494,1.10251647
0.338867,0.58034979,1.10514555
0.339355,0.58347918,1.10513574
0.339844,0.5749641,1.10023074
0.340332,0.57742641,1.10024055
0.34082,0.5805558,1.09888677
0.341309,0.58523517,1.09710135
0.341797,0.57306096,1.10198673
0.342285,0.57236445,1.10145699
0.342773,0.59521194,1.09585548
0.343262,0.58735413,1.10130003
0.34375,0.56278008,1.09882791
0.344238,0.58096782,1.09906335
0.344727,0.59973435,1.10279115
0.345215,0.57009834,1.10336013
0.345703,0.56999043,1.09973043
0.346191,0.59638914,1.10258514
0.34668,0.58118364,1.10534175
0.347168,0.563094,1.10170224
0.347656,0.57353184,1.10713698
0.348145,0.57755394,1.10763729
0.348633,0.57165813,1.10379177
0.349121,0.56978442,1.10840247
0.349609,0.57693591,1.10775501
0.350098,0.57674952,1.10598921
0.350586,0.56949993,1.10785311
0.351074,0.56354526,1.10870658
