Time (s),X Accel (m/s^2),Y Accel (m/s^2)
18.642164,1.9881927,0.83232945
18.642652,1.97403687,0.87167736
18.643141,1.97480205,0.87354126
18.643628999999997,1.95683013,0.87912315
18.644117,1.95950826,0.88167375
18.644605,1.96639488,0.82321596
18.645094,1.95759531,0.81637839
18.645581999999997,1.98168867,0.80501841
18.64607,1.96448193,0.83366361
18.646559,1.97098596,0.85842405
18.647047,1.98398421,0.87555231
18.647534999999998,1.99240119,0.88360632
18.648023,2.00273112,0.9067383
18.648511999999997,2.01572937,0.89811531
18.649,1.98704493,0.89439732
18.649487999999998,2.01687714,0.84638718
18.649977,1.99622709,0.83882367
18.650464999999997,1.96792524,0.83346741
18.650953,1.98245385,0.86780241
18.651441,1.94420466,0.89196444
18.65193,1.95300423,0.8983017
18.652417999999997,1.97441946,0.89937099
18.652906,1.96295157,0.88261551
18.653395,1.97862795,0.88705944
18.653883,1.98972306,0.86423157
18.654370999999998,1.97594982,0.83666547
18.654859,1.98895788,0.83593953
18.655347999999996,1.9996704,0.85861044
18.655836,1.99660968,0.88850151
18.656323999999998,1.99814004,0.91505718
18.656813,2.00846997,0.90446238
18.657300999999997,2.03065038,0.91858878
18.657789,2.01266865,0.87836778
18.658277,2.02338117,0.85702122
18.658766,2.00273112,0.84790773
18.659253999999997,1.98704493,0.81998847
18.659742,1.9843668,0.84083472
18.66023,1.95912567,0.8481726
18.660719,1.95606495,0.88470504
18.661206999999997,1.96027344,0.8947701
18.661695,1.95070869,0.8722071
18.662184,1.98130608,0.86503599
18.662672,1.9732815,0.82245078
18.663159999999998,1.97480205,0.82504062
18.663648,1.99240119,0.82173465
18.664136999999997,1.97060337,0.82507986
18.664625,1.99660968,0.85481397
18.665112999999998,2.00043558,0.87429663
18.665602,1.98666234,0.89515269
18.666089999999997,2.01381642,0.90821961
18.666578,2.00120076,0.88671609
18.667066,2.00081817,0.85265577
18.667555,2.00808738,0.82086156
18.668042999999997,1.97251632,0.81497556
18.668531,1.95453459,0.8385588
18.66902,1.95759531,0.84843747
18.669508,1.93693545,0.87179508
18.669995999999998,1.95836049,0.8787798
18.670484,1.96639488,0.90267696
18.670972999999996,1.97441946,0.89997921
18.671461,1.98321903,0.86575212
18.671948999999998,1.99890522,0.84524922
18.672438,2.00273112,0.84634794
18.672925999999997,1.99890522,0.85413708
18.673414,2.00808738,0.87756336
18.673902,2.00502666,0.90974016
18.674391,2.0184075,0.92261088
18.674878999999997,2.02414635,0.91589103
18.675367,2.01687714,0.8983017
18.675855,2.01038292,0.88459713
18.676344,2.01228606,0.84691692
18.676831999999997,1.99125342,0.84026574
18.67732,1.9805409,0.81919386
18.677809,1.97633241,0.85089978
18.678297,1.94726538,0.87232482
18.678784999999998,1.97366409,0.88596072
18.679273,1.96486452,0.88470504
18.679761999999997,1.98130608,0.86575212
18.68025,1.98589716,0.8604351
18.680737999999998,1.9958445,0.82989657
18.681227,1.99393155,0.82686528
18.681714999999997,2.01611196,0.82059669
18.682203,2.0034963,0.84839823
18.682691,2.00043558,0.86477112
18.68318,2.00273112,0.90392283
18.683667999999997,1.9920186,0.90582597
18.684156,2.00923515,0.88740279
18.684645,1.98895788,0.86795937
18.685133,1.98972306,0.81181674
18.685620999999998,1.9732815,0.82997505
18.686109,1.96027344,0.80468487
18.686597999999996,1.95300423,0.82662984
18.687086,1.95453459,0.84821184
18.687573999999998,1.95989085,0.87331563
18.688063,1.95606495,0.89921403
18.688550999999997,1.97518464,0.89439732
18.689039,1.976715,0.86647806
18.689527,2.00311371,0.84152142
18.690016,2.00808738,0.82921968
18.690503999999997,2.00923515,0.83605725
18.690992,2.01038292,0.85375449
18.69148,2.02452894,0.88478352
18.691969,2.00043558,0.89769348
18.692456999999997,2.01038292,0.90286335
18.692945,2.00808738,0.91368378
18.693434,1.99775745,0.90404055
18.693922,2.0034963,0.86028795
18.694409999999998,1.99622709,0.84365019
18.694898,1.96983819,0.83981448
18.695386999999997,1.97633241,0.85185135
18.695875,1.95836049,0.87715134
18.696362999999998,1.9503261,0.89089515
18.696852,1.97441946,0.8978112
18.697339999999997,1.96218639,0.89371062
18.697828,1.97441946,0.90244152
18.698316,1.99354896,0.86924448
18.698805,1.98972306,0.85006593
18.699292999999997,2.00196594,0.84379734
18.699781,1.99814004,0.84259071
18.70027,1.98666234,0.87920163
18.700758,1.98895788,0.89119926
18.701245999999998,1.98092349,0.89974377
18.701734,1.98130608,0.88254684
18.702222999999996,1.97251632,0.87156945
18.702711,1.96830783,0.84433689
18.703198999999998,1.94841315,0.82473651
18.703688,1.95300423,0.81676098
18.704175999999997,1.96333416,0.81090441
18.704664,1.95147387,0.82404981
18.705152,1.96333416,0.86776317
18.705641,1.96333416,0.87248178
18.706128999999997,1.96677747,0.8782893
18.706617,1.99928781,0.86647806
18.707105,1.99814004,0.85048776
18.707594,1.99737486,0.84015783
18.708081999999997,2.02070304,0.82993581
18.70857,2.01725973,0.84520998
18.709059,2.02108563,0.85292064
18.709547,2.01649455,0.86325057
18.710034999999998,1.9920186,0.91239867
18.710523,1.99469673,0.89795835
18.711011999999997,1.97901054,0.89507421
18.7115,1.96639488,0.86343696
18.711987999999998,1.97748018,0.83616516
